GPSub_ID,GPSub,(R)Esub,TDist_0,TDist_1,Tdist_2or3,Tdist_>3,PPB_Score,Verified
GPSub_3,CCN(C*)CCN*,*C(=O)NC(*)C(=O)NCC(=O)*,567,61,45,241,-0.239 ,NO
GPSub_3,CCN(C*)CCN*,*C(=O)NC(C*)C(=O)NC*,2222,87,225,904,-0.154 ,YES
GPSub_10,*NCCNCCO,CC=CC*,466,83,66,48,-0.162 ,NO
GPSub_10,*NCCNCCO,CC=C*,496,68,88,46,-0.138 ,NO
GPSub_10,*NCCNCCO,*C(=O)O,335,11,168,119,-0.215 ,YES
GPSub_10,*NCCNCCO,CN(C)CC(=O)*,473,39,22,124,-0.184 ,NO
GPSub_10,*NCCNCCO,*NC(=O)C(C)NC,1098,90,213,386,-0.221 ,NO
GPSub_10,*NCCNCCO,*CC(=O)O,529,216,37,111,-0.232 ,YES
GPSub_10,*NCCNCCO,*C(=O)NC(C)C(=O)N,559,69,126,249,-0.154 ,NO
GPSub_10,*NCCNCCO,*C(=O)NC2C(=O)N3C(=CCSC23)C(=O)O,120,0,0,2,-0.245 ,NO
GPSub_10,*NCCNCCO,*C(=O)Cc3ccccc3,29,79,10,21,-0.134 ,NO
GPSub_10,*NCCNCCO,*C(=O)NC1C(=O)N2C(=C(C)CSC12)C(=O)O,116,0,0,2,-0.240 ,NO
GPSub_10,*NCCNCCO,*C(=O)NCCN,915,55,154,321,-0.149 ,NO
GPSub_10,*NCCNCCO,*C(=O)N(C)*,466,26,19,140,-0.234 ,NO
GPSub_10,*NCCNCCO,*CC(=O)N(C)*,770,4,77,169,-0.247 ,NO
GPSub_10,*NCCNCCO,CN(*)CC(=O)*,492,26,35,124,-0.175 ,NO
GPSub_10,*NCCNCCO,CC(NC(C*)C(=O)O)*,198,0,4,0,-0.126 ,NO
GPSub_10,*NCCNCCO,*C(=O)NC(C)C(=O)*,588,180,39,343,-0.246 ,YES
GPSub_10,*NCCNCCO,CC(=O)NC(C*)C(=O)*,840,191,80,336,-0.259 ,YES
GPSub_10,*NCCNCCO,CC(=O)NC(*)C(=O)*,642,135,64,303,-0.274 ,YES
GPSub_10,*NCCNCCO,CC(=O)NC(C*)*,1929,217,371,726,-0.262 ,NO
GPSub_10,*NCCNCCO,*CSC*,288,314,18,8,-0.247 ,YES
GPSub_10,*NCCNCCO,*C(=O)NCC(=O)*,739,189,57,387,-0.231 ,YES
GPSub_10,*NCCNCCO,*C1=C(C(=O)O)N2C(=O)C(NC(=O)C*)C2SC1,162,0,0,2,-0.248 ,NO
GPSub_10,*NCCNCCO,*C(NCC(=O)O)*,298,0,4,2,-0.300 ,YES
GPSub_10,*NCCNCCO,*C2CCN2*,191,0,0,2,-0.299 ,YES
GPSub_10,*NCCNCCO,*CCN(CC(=O)O)C*,605,14,14,14,-0.254 ,YES
GPSub_10,*NCCNCCO,*C1C(NC(=O)*)C(=O)N1*,187,0,0,2,-0.281 ,YES
GPSub_10,*NCCNCCO,*C2CCN2C(=*)*,130,0,0,2,-0.276 ,NO
GPSub_10,*NCCNCCO,*CCN(C*)CC(=O)*,1223,81,48,252,-0.213 ,NO
GPSub_9,*NCCN4CCCC4,*CCNC(C)C,404,52,17,187,-0.244 ,NO
